Вопрос решен	Вопрос не решен 	Нравится качество выполнения заявки	Нравится качество работы сотрудников	Нравится скорость отработки заявок	Понравилось выполнение заявки	Unnamed: 6	Unnamed: 7	Unnamed: 8
Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику		 прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!			Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!			
				Очень оперативно и никуда не пришлось ходить.				
Проблема решена.								
				Очень оперативно отреагировали! Спасибо!				
		оперативно, качественно, вопросов не возникло. Спасибо.		оперативно, качественно, вопросов не возникло. Спасибо.				
				Быстро!				
				Благодарю за оперативность!				
				спасибо за оперативное решение проблемы. 				
				Оперативная работа				
				оперативное решение проблемы! 				
			Лучший мастер на свете ??Спасибо большое ??					
		Спасибо большое, что починили домофон. 						
		Отличная работа						
Спасибо огромное за помощь!								
		обычная услуга. Цена, правда, завышена (за около 10ти минут работы). 						
		отличная работа. теперь дверь закрывается плавно. спасибо. 						
					спасибо большое 			
				Все супер быстро! Спасибо! 				
				Оперативно) спасибо				
					Супер			
					Спасибо.			
				Молодцы, оперативно. 				
				Вопрос решился быстро. Спасибо!				
					Спасибо ?? 			
			Александру спасибо за объяснение причины бульканья ! 					
				спасибо! всё быстро!				
		Спасибо! Исправили мою ошибку						
			мастер сделал все очень быстро и аккуратно					
				спасибо за оперативность				
			Очень вежливый и профессиональный мастер. Устранил все недочеты оперативно и качественно. Просто отлично. Спасибо 					
			Иван, огромное спасибо вам ! 					
				Среагировали за 20 минут!!!!				
			Спасибо специалисту Роману, который помог мне наконец-то решить мой вопрос! Очень грамотный и вежливый специалист) 					
		спасибо! в тот же день электрик решил проблему.						
		Лифт и полы помыли , большое спасибо за уборку ! Ждём установку зеркал в лифтах						
да все верно. спасибо								
				спасибо всё бистро устранили 				
		Спасибо, вроде бы стало лучше. 						
				Спасибо большое за Вашу быструю и профессиональную помощь. 				
				Все быстро, не смотря на поздний час.				
				ответ был предоставлен оперативно и в полном объеме				
		Спасибо огромное,  напор стал отличным!						
		Спасибо) там правда все убрали и стало прям чисто) если можете еще отмыть пятна чего-то… буду очень вам признателен) возможно там нужна не только тряпка)						
сделали								
			Спасибо мастеру Сергею за четкую работу! 					
		Наконец - то. Очень надеюсь, что через 2 дня он не встанет снова						
				Благодарим, очень оперативно!				
			Быстро, мастеру большое спасибо					
Вопрос решен быстро		 спасибо мастеру. Фото выполненной работы приложил и даже позвонил!						
главное что проблема решена! спасибо!								
			Спасибо.. все сделали быстро .. очень вежливые сотрудники. 	Спасибо.. все сделали быстро .. очень вежливые сотрудники. 				
спасибо		 что решили проблему оперативно 			спасибо, что решили проблему оперативно 			
				Оперативно, внимательно, вежливо. Спасибо. 				
				Спасибо, всё оперативно сделали!				
			Была распечатана бумажная квитанция.Хочу поблагодарить работника расчетного отдела за разьяснения по квитанции и как найти электронный вариант квитанции в приложение Самолет+УК					
Заявка быстра принята в работу. Проблема решена. Спасибо! 								
				Молодцы! Быстро! ??				
				 Спасибо большое за оперативность??????				
					Благодарю!			
					Спасибо большое,всех благ и процветание вашей компании 			
			спасибо электрику					
		всё грамотно по полочкам объяснил						
		благодарю за быстро и качественно оказанную услугу		благодарю за быстро и качественно оказанную услугу				
Спасибо за оперативное решение вопроса! 				Спасибо за оперативное решение вопроса! 				
		Огромное спасибо, быстро и качественно 		Огромное спасибо, быстро и качественно 				
				Спасибо большое за оперативность 				
		спасибо за ремонт!						
			благодарю менеджера Татьяну 					
			благодарю менеджера 					
			сотрудники молодцы!					
					Большое спасибо 			
		оперативно и качественно! браво!		оперативно и качественно! браво!				
		Спасибо огромное! Оперативно и качественно решили проблему! 		Спасибо огромное! Оперативно и качественно решили проблему! 				
		Поднималась сегодня с утра, запаха нет совсем. Спасибо большое 						
			Специалист проконсультировал, сориентировал по срокам.					
		спасибо, быстро и качественно. 		спасибо, быстро и качественно. 				
					спасибо. 			
				Спасибо за оперативность ??????				
					Все отлично! Спасибо 			
					Спасибо, большое!!!			
					Спасибо  большое ! 			
				Быстро и оперативно 				
					все отлично			
				Оперативно. Пока работает 				
			Лика, спасибо Вам за оперативный ответ и подробные разъяснения по работе с приложением! 					
			Отличный сотрудник 					
			Спасибо Мастеру Олегу!					
		Для точной оценки нужно пережить зиму и понять, лучше стало или нет						
				Спасибо большое за оперативность!)?? Уже оценили песочек - очень хороший, чистый))) Дети были очень рады что в песочнице достаточное количество песка!)) ??				
				Быстро.Качественно.				
					Спасибо большое всё решили быстро!			
				оперативно, быстро .				
		оказали не только услугу по приобретению ключа,но ещё установили приложение УК Самолёт!!!						
			Приходил мастер все отрегулировал большое спасибо 					
				Оперативно 				
			спасибо за консультацию					
			Парни (установщики) отработали на 5+, а вот упаковка не очень , тк не полный комплект фурнитуры (отсутствовали в комплекте нижняя ответка, пришлось колхозить и отпиливать кусок от старой ответки, а также шурупы отсутствовали)					
					Спасибо! Всё хорошо 			
Все ок								
	Сразу бы так							
 Ответ получен. 								
			Благодарю за обратную связь. 					
	За возможность добавить необходимый документ в ЛК приложения и тем самым решить вопрос	 не посещая клиентский офис. 						
При звонке было вежливое		" доброжелательное отношение. """						
		Прислали на следующий день.						
		Все было сделано быстро и качественно.		Все было сделано быстро и качественно.				
		Напор стал гораздо сильнее, небо и земля. Быстро поняли причину слабого напора. Спасибо 						
		Спасибо за вашу работу! Вычислить бы, кто вырвал предыдущий доводчик и наказать! А вам спасибо!						
да открыла спасибо								
				быстро позвонили, пришли все сделали,спасибо 				
		Молодцы, очень оперативно!!!!! Прям минус одна головная боль 						
		Очень быстро, качественно. Спасибо! ??						
		спасибо большое за разъяснения и за оперативность		спасибо большое за разъяснения и за оперативность				
				Быстро и понятно 				
					Спасибо за консультацию!			
				Просто и удобно, а также быстро и экономия времени и ресурсов				
"."""								
					Отлично!			
					Спасибо! 			
		Отлично все сделано 5 балов.						
		четвёрка за то что выслали только со второго раза. 						
"нужную квитанцию! """								
					отлично??????			
спс								
					Спасибо большое, все получила 			
				Спасибо ,очень оперативно 				
			благодарю мастера, всё объяснил и дал рекомендации					
			Ребята молодцы					
				Спасибо за оперативное решение				
			Большое спасибо мастеру!					
			к оказанию самой услуги и сантехнику претензий нет. а вот, то что отключения происходят регулярно - крайне негативно сказывается на впечатление о компании Самолет УК					
			Специалист компетентно объяснил, что необходимо сделать таких случаях! Игорь Золотухин ??					
				Быстро и чётко				
					Всё хорошо			
			Владимир грамотно и здорово и быстро все сделал					
					Отличный сервис! 			
					огромное спасибо			
					Спасибо! Сервис работает, это самое главное :)			
			Все отлично,позвонили,ответ предоставили 					
				Заявка была отработана в течение 5-ти минут.  Благодарю за оперативность!				
					Все отлично, спасибо			
				Оперативное решение! Спасибо)				
			Татьяна оперативно решила вопрос,очень отзывчивая ??					
					Все гуд			
					Все отлично.??			
			Поприветствовали, предложили присесть. Всё быстро оформили. Спасибо. 	Поприветствовали, предложили присесть. Всё быстро оформили. Спасибо. 				
		Спасибо что убрали надпись. Думал, будет аккуратнее 						
				все быстро и четко 				
			Добрый день! Заявка была выполнена качественно, сотрудники грамотные,очень вежливые, большое им спасибо! 					
			спасибо за помощь от подключившихся инженеров.					
			Замечательный мастер! Все очень оперативно и качественно. Добрый человек с золотыми руками! Огромное спасибо!!!					
Благодарю		 хотя я уже давно просила и получаю на эл.почту	 но почему-то ещё и бумажные получала.					
Вопрос был решен оперативно) спасибо большое!								
					Молодцы!			
					Все ок ) спасибо 			
				красавцы, быстро,  оперативно,  очень приятно в общении 				
		Хорошее обслуживание)						
				Оперативно как всегда 				
				Большое спасибо , оперативно поставили ограничители 				
		одну звезду сняла за то,что отличается цвет плитки)						
				спасибо! быстро и оперативно				
		Горячая вода появилась.						
				спасибо за оперативность и грамотный, развёрнутый ответ) 				
			Очень оперативно менеджер связался, ответил на вопросы и отправил необходимые документы. Благодарю!					
				быстро отреагировали, запустили				
		Спасибо. Оперативно приняли заявку и отремонтировали.Лифт работает исправно.		Спасибо. Оперативно приняли заявку и отремонтировали.Лифт работает исправно.				
				Оперативно и надежно)				
					Отлично			
		Спасибо! Услуга оказана очень оперативно, удобный формат. Заказала ключ на выходных, в понедельник все было готово. Сотрудники вежливые и внимательные??	Спасибо! Услуга оказана очень оперативно, удобный формат. Заказала ключ на выходных, в понедельник все было готово. Сотрудники вежливые и внимательные??					
				Все супер, Очень оперативно и профессионально, Спасибо 				
		Всё быстро и качественно!??		Всё быстро и качественно!??				
			Тот кто  выполнял заявку, чудо! Оперативно выполнили. Спасибо ????	Тот кто  выполнял заявку, чудо! Оперативно выполнили. Спасибо ????				
			спасибо,жду бумажные платежные поручения со следующего месяца 					
			лучший мастер на свете, нужно ему выдать премию 					
		работает! Спасибо						
			Спасибо электрику, оперативно пришёл! 					
					все отлично! 			
		Хотелось, что бы каждый месяц присылали квитанцию на почту или в приложении						
			Большое спасибо электрику! Ситуация была не из простых, но он обнаружил проблему и смог ее решить 					
			Сантехник молодец! Устранил утечку воды выше по этажу и в нас перестала течь вода. 					
Молодец! 								
		Все быстро и качественно 		Все быстро и качественно 				
		спасибо большое, жаль, что там уже опять намусорили(						
		спасибо, теперь она закрывается 						
				Можно было и сразу заявку выполнить. Не забываете что по периметру несколько контейнеров для пакетов. Пакеты кончаются быстро, значит хозяева убирают за собаками. 				
				Спасибо большое за оперативность,мир и процветание вашей компании Самолет!				
					Выше похвал.. 			
				Благодарю за оперативность.				
					Спасибо..			
			очень вежливая и грамотная сотрудница, побольше бы таких!					
		спасибо. прошу загружать квитанции в личный кабинет без дополнительных запросов.						
					все прекрасно			
		все быстро и качественно, большое спасибо!		все быстро и качественно, большое спасибо!				
			Консультация была проведена профессионально. Спасибо за разъяснения и рекомендации					
		Спасибо большое, что починили дверь. Зашла без проблем. Дверь работает отлично. 						
				Спасибо за оперативность. 				
					Огромное спасибо 			
					Спасибо за работу			
				Быстро				
				Спасибо за быстрое решение вопроса. Лояльность мастера с подбором времени				
		спасибо за обратную связь,надеюсь в приложении информация обновиться,что оплата прошла.						
			мастер выполнил работу быстро и чисто, все отлично					
				Самая лучшая УК . Спасибо большое за помощь. За быструю работу и мгновенную выполнения!!!!				
				Очень быстро??				
				быстро				
				спасибо за оперативный ответ????				
		очень удобно получать электронную квитанцию.  Давно пора. 						
				Оперативно выполнили заявку. Спасибо				
			спасибо специалисту. 					
	Жалко	 что заранее не предупреждаете	 что есть тех проблемы сейчас	 как нам узнать - в новости можно написать такое. И нет такого раздела про формирование квитанций в заявках в УК	 не сразу поняла	 где написать 		
				Огромнейшее спасибо за оперативность??				
				Спасибо огромнейшее за оперативность ??				
					Благодарю за работу!			
Все решили! Перезвонили . Спасибо 								
					Очень быстро все сделали!!!!			
					Огромное Спасибо.			
		Все отлично.  Жаль что для сотрудников компании на данные услуги не действуют скидки.						
				очень быстро				
			Очень приятный менеджер консультант , которая всё правильно и подробно объясняет.					
					Спасибо !!!!все супер 			
					спасибо большое! 			
				Специалист пришёл очень быстро, все быстро исправил. Спасибо. 				
всё супер		 вопрос решён быстро)						
				Очень надеюсь что квитанция будет дублироваться и в приложении. А так оперативно и быстро поступила. 				
				спасибо большое за быстрое реагирование. 				
			спасибо девочкам операторам!					
			Менеджер Елизавета  очень быстро решила мой вопрос, спасибо!					
спасибо		 но придумайте	 пожалуйста	 способ как этого избежать на будущее. 				
			Спасибо за работу, выполнена качественно и в срок					
					Спасибо !!			
					Прям молодцы! Порадовали) все четко) 			
			Алексей профессионал в своем деле! Быстро нашел проблему и устранил ее. Огромное ему спасибо!					
Да		 подтверждаю ! Вчера вечером обнаружила что устранено. Спасибо						
вопрос решён 								
					Спасибо за помощь			
		Спасибо, все качественно и профессионально!						
		Быстро и качественно. Спасибо!		Быстро и качественно. Спасибо!				
		отличная функция, спасибо 						
					Спасибо за выполненную работу!			
				очень оперативно, благодарю				
					спасибо большое!			
			Спасибо Александру за профессионализм и быструю работу. 					
					спасибо большое!!!??			
				все отлично, сделали быстро и не дорого				
				Спасибо большое за оперативный ответ 				
			Спасибо огромное менеджеру по страхованию Евгении Гущиной за помощь в оформлении страховки!!!! Настоящий профессионал своего дела!!! Исчерпывающе ответила на все интересующие вопросы!!!! 					
				Оперативно,профессионально,спасибо				
			Специалист связывался по заявке, все починили! Спасибо 					
				В течении 2 часов после создания заявки все устранили, спасибо				
Ремонт выполнен!								
				Быстро решили проблему! Спасибо!				
			Работа мастера, выполнена отлично! Проблема решилась только при личном визите в УК					
			Большое спасибо Оксане Петриной! 					
				Всё оперативно,спасибо!				
Добрый день! Спасибо. Вопрос решен. 								
				Все быстро и четко!!! Спасибо!				
			Очень ответственная девушка в УК.					
					отлично всё работает 			
			Благодарность мастеру, сделал быстро и качественно. Премию Ренату. ??					
		Пришли вовремя) заранее позвонили уточнить удобное время) отличный мастер все сделал быстро и аккуратно) 						
					отлично, спасибо!			
		ну вроде, получше...						
"Слава Богу"""								
				Проблема решена, быстро и оперативно..				
					Всё отлично, спасибо!			
		Очень быстро и вежливо))						
			Второй специалист все отлично решил. Спасибо.					
					Спасибо. 			
			благадарю специалиста					
		Очень быстро и качественно, спасибо! 		Очень быстро и качественно, спасибо! 				
				Спасибо за оперативность 				
					Спасибо Большое! Всё сделано супер!			
				Комод убран. Большое спасибо за оперативное решение				
			Хочу выразить особую благодарность Татьяне за проявленный интерес к моему вопросу!					
				Очень быстро отреагировали и устранили проблему 				
				спасибо большое за оперативность)))				
		Вот теперь все данные правильно внесены. Спасибо.						
				быстро, эффективно!				
					Все отлично			
			Отличный сантехник!					
					Спасибо!!!			
				очень оперативно. спасибо 				
				Как оперативно! Благодарю!				
				Благодарю за оперативность 				
Быстро среагировали и решили проблему. Спасибо!				Быстро среагировали и решили проблему. Спасибо!				
				Быстро сделали.				
Добрый день! Вопрос решен очень быстро! Благодарю за работу и оперативность)								
				все хорошо, очень доступно все объяснили				
			Мастер на все руки! Спасибо большое ??????					
				Оперативно				
			Отличный мастер					
		да,  спасибо. пока не сломали)						
				Оперативная работа??				
			все очень быстро и качественно сделал сантехник Сергей!					
					Спасибо огромное ????			
			Большое спасибо, очень внимательно и клиентоориентированность на высшем уровне 					
				Спасибо большое за оперативное решение				
		Отличное обслуживание.						
Всё решили 								
		Ключи работают. 						
		Спасибо большое!						
"Выполнили работу быстро и аккуратно!"""								
		Все быстро, качественно, как договорились. Спасибо.		Все быстро, качественно, как договорились. Спасибо.				
					Всё отлично! Спасибо большое!			
			Самый вежливый работник 					
				Четко и я оперативно				
				Очень быстро!				
		Спасибо за выписки. Счет на эту сумму когда подкрепят в приложение?						
				Достаточно быстро, спасибо !				
				оперативно устранили, дали консультацию 				
			спасибо огромное специалисту за оперативность и профессионализм. 					
		Напор стал хорошим,  спасибо 						
		Благодарю за качественную и оперативную работу сотрудников УК! С наилучшими пожеланиями к Вам!????						
				Все отлично! Спасибо за быстрое устранение проблемы)				
		Оперативно среагировали, пришло большое количество строителей и помогли убрать всю воду. 		Оперативно среагировали, пришло большое количество строителей и помогли убрать всю воду. 				
			Виталик молодец. 					
				Спасибо большое, что все быстро починили!!! Спасибо за хорошую работу!				
Была протечка смесителя в ванной		 мастер пришел в течении полу часа	 поменял прокладки. Вопрос решен.					
Самый лучший клиентский менеджер!!! Всегда идеально решает все вопросы!!!								
				Быстро устранили проблему 				
		заявка выполнена мгновенно ??						
			Спасибо Татьяне!) Быстро и понятно все объяснила!)					
				Быстрая реакция на обращение. На данный момент протечек нет.				
					благодарю!			
					Спасибо большое			
			Вопрос был решен оперативно . Спасибо как сантехнику , так и менеджеру . К сожалению не спросила имена . 					
		Выполнено быстро и качественно.  Починили перила. 		Выполнено быстро и качественно.  Починили перила. 				
				Спасибо за оперативно отработанную заявку				
			Очень грамотный специалист. Устранил моментально.					
				Спасибо за оперативную уборку! 				
Проблема решена с дверью		взаимодействие с овд игнорировано.						
		спасибо большое, очень быстро и оперативно ,мастер классный , отлично знает свою работу		спасибо большое, очень быстро и оперативно ,мастер классный , отлично знает свою работу				
было бы 5 звезд		 но пришлось действовать через руководство	 поэтому четыре. 					
			сантехник пришел в течение 20 минут. вежливый. проблему разрешил .					
					Лучший!			
		спасибо сегодня возвращался домой и запаха не почувствовал						
			Электрик прибежал оперативно и отключил сигнал пожарной тревоги. 					
					Большое спасибо! Очень оперативно ??????			
				Все быстро и оперативно. Спасибо 				
					Благодарю! 			
		Проблему устранили, но не сообщили по запросу, сколько потребуется времени на её решение						
			Спасибо за прямую связь со специалистом который смог устранить неисправность!					
проблема решена		 теперь всё работает как надо						
					спасибо ?? 			
		Большое спасибо. Все нормально работает.						
				Очень оперативно! вс? исправили				
				Быстро, качествено и оперативно. 				
		Отзвонились, зафиксировали, дежурный электрик молодец ???? 						
				всё очень быстро сделали 				
				спасибо огромное за быстрое решение моей заявки! ??				
			Электрик пришел, все проверил и нам объяснил все. Спасибо большое! 					
			Только положительные эмоции,специалист очень ответственный,огромная благодарность!					
		Откусили конец сгоревшего Ноля. Заменили левый автомат. Будем наблюдать далее.						
			Мастеру Александру спасибо большое! 					
			Вежливые, доброжелательные. Разъяснили, подсказали.					
			Хорошая девушка менеджер ! Очень понятливая и на 100% вошла в положение всех жителей и донесла это до руководства ! Благодарю её! 					
				Спасибо большое за оперативность! Хорошего дня вам! 				
			Все хорошо !  Быстро пришел мастер сделал все четко . 					
				Самое главное,оперативно.				
			прекрасный мастер 					
			Сергей Анатольевич, мастер своего дела. Выполнил работу быстро и качественно, спасибо.					
Отличный специалист		 вопрос решен. Спасибо.						
		устранили неполадку очень оперативно и качественно. большое спасибо. 		устранили неполадку очень оперативно и качественно. большое спасибо. 				
		Сделали после того,как написали в наш город заявки соседи 						
			Оперативно и быстро,спасибо Сергею!					
					спасибо) вы классные ??			
					Спасибо большое ??			
					в лучшем виде 			
			Благодарю за оперативное устранение проблемы! Отдельная благодарность мастеру за подробное разъяснение о причинах отсутствия горячейводы, приятное общение и человеческое отношение!!!	Благодарю за оперативное устранение проблемы! Отдельная благодарность мастеру за подробное разъяснение о причинах отсутствия горячейводы, приятное общение и человеческое отношение!!!				
					Спасибо большое вам за работу!			
				все быстро и оперативно 				
		Спасибо! Не делайте так больше, или хотя бы заранее предупреждайте о раннем отключении воды, чтоб люди с вечера успели её набрать!! 						
				Приехали быстро. Спасибо!				
				Всё быстро . Работа выполнена				
				Благодарю за оперативность! 				
					спасибо, отлично 			
				спасибо за быструю реакцию!				
					Все супер			
					все отлично.			
Претензий нет								
			Спасибо большое мастеру, все починил, объяснил! 					
		спасибо большое всем кто помог решить данную проблему 						
			Спасибо огромное Петрине Оксане Вдадимировне. Из 5 заявок  только она смогла правильно ответить на заявку. А остальных можете увольнять ,работают видно для галочки.					
					Спасибо огромное			
					Все очень хорошо 			
				Быстро и четко!))				
				замечательный шутро и быстро сделали Молодец ??				
				спасибо. решили оперативно! 				
		Быстро качественно 						
			Отличный специалист! 					
			Спасибо Никита??					
				Оперативно. Очень вежливый сантехник. Приятно было общаться и получить решение проблемы через 25 минут. Спасибо.				
				Спасибо за оперативность.				
		спасибо за информацию!						
		Очень нравится что стали поливать газон						
			мастер супер!!!					
				спасибо большое за скорость				
			Спасибо дежурному сантехнику					
				оперативно,спасибо				
			Сотрудник позвонил и всё понятно объяснил. Спасибо.					
			Спасибо Вам Татьяна. Хорошего дня ??????					
Благодарю УК за оперативность и решение моего вопроса.				Благодарю УК за оперативность и решение моего вопроса.				
					хорошо 			
				спасибо за оперативность! 				
			Сотрудник супер,вежливый и работа выполнена на 5+					
				Спасибо. Очень быстро приняли меры.				
		Все доступно объяснили.						
			Отличный специалист. Все показал, рассказал объяснил.					
			отзывчивые менеджеры, всем спасибо за быстроту					
		Дана консультация, жду решения						
				Очень оперативно! Спасибо большое!!! 				
				Оперативно и четко решен вопрос. Благодарю. 				
		все на высшем уровне 						
					Спасибо ????????????			
		Спасибо,что включили кран 						
			Лучший специалист! Спасибо 					
	проблема не решена	но даны исчерпывающие разъяснения и рекомеедации						
					Идеально!			
			спасибо большое за помощь!Мария решила быстро вопрос.Настоящий специалист. 					
					Супер, спасибо !			
			все прошло быстро,спасибо сотруднику. 					
			Благодаря помощи Анастасии, быстро всё решили. Отличная, оперативная работа					
			Быстро и оперативно спасибо мастеру 					
					Спасибо за вашу работу! 			
		Все устранили в короткие сроки. Молодцы						
		быстро, качественно, без лишних вопросов и нюансов 		быстро, качественно, без лишних вопросов и нюансов 				
		оперативно,  качественно! спасибо!		оперативно,  качественно! спасибо!				
			отличная работа					
			спасибо за быстрое решение вопроса! 					
			Спасибо за вашу работу 					
				очень оперативно. спасибо				
				Мгновенно. Спасибо				
		Оказалось, что это не авария, а нюансы системы водоснабжения и отопления.						
Всё подробно объяснили		" спасибо!)"""						
			Спасибо. Отличная работа, прекрасный коллектив 					
			Спасибо) Оперативно устранили проблему.					
					быстро понятно спасибо 			
		Спасибо за оперативность, желательно проверить и другие столбы освещения 		Спасибо за оперативность, желательно проверить и другие столбы освещения 				
				супер оперативно				
				быстро умтранили				
			Оперативно и качественно мастер решил проблему! Огромное спасибо ему.					
				Быстро исправили, спасибо!				
					Супер!!!!			
					Благодарю за помощь!			
		Оперативно, аккуратно, в удобное время. 						
				Быстро обработали заявку, спасибо за оперативность				
					Спасибо большое.			
					Благодарю !			
					Молодцы, спасибо 			
					Всё сделали отлично			
			Хороший мастер сделал всё быстро 					
проблема решена после того как сходил в офис и разьяснил на пальцах								
				Работа выполнена,  в кратчайший срок. Благодарю 				
			Мастер пришел на следующий день и ответил на все вопросы, выдал рекомендации по устранению проблемы. Спасибо!					
				Все сделали очень быстро! Спасибо большое!				
При личном общении были решены все вопросы		 полное взаимопонимание	 отлично выполненная работа... 					
				супер оперативно 				
					Всё супер 			
				Спасибо, всё оперативно сделано!				
				спасибо,отреагировали очень быстро!				
				очень быстро отреагировали..посмотрим ,как дальше будет..				
			Здравствуйте. Спасибо Геннадию за работу. Все проверил и решил работу. Просьба если ранее вопрос не решен, то не закрывать заявки просто так, а передавать информацию специалистам в указанной сфере. 					
			Благодарю за оперативное решение. Ответственный сотрудник держал меня в курсе выполнения заявки,за что ему отдельное спасибо.Очень клиентоориентированный подход! Спасибо!					
				спасибо! очень оперативно! 5+				
					Вауу, супер спасибо			
					Наконец то.  Спасибо. 			
					Огромное спасибо, очень помогли! Быстро и профессионально! 			
					все нормально, спасибо			
			Большое спасибо мастеру ??					
			Спасибо оператору,  деж. (аварийной) смене за оперативную работу!!!					
		Проблему решили временно, надеюсь люк поменяют						
				Отреагировали оперативно, проблему решили и исправили по звонку телефона! 				
" """								
			Ольга Птушкина  очень быстро и грамотно решила наш вопрос .Большое спасибо !!!					
		Спасибо за обратную связь! 						
		очень оперативно внесли данные по поверке 						
				Спасибо Вам большое, быстро среагировали				
Решилось само собой								
					Сантехник очень быстро отключил воду, а сварщик очень быстро и качественно устранил проблему вновь, надеюсь, больше не увидимся 			
				Быстро среагировали 				
				Спасибо за оперативность				
				Все сделали в течении часа, спасибо.				
					Спасибо, большое!			
				Большое спасибо я! Оперативно все сделали!				
		Спасибо за фотоотчет						
		Спасибо большое, свет сделали						
				Быстро отреагировали. Пятерка!?? Спасибо.				
			Татьяна - супер сотрудник, оперативно решает все вопросы, касательно аренды парковочного места в Пригороде Лесном.   Татьяна максимально ответственный и отзывчивый человек!  Лучший сотрудник в Управляющей компании, по моему личному мнению!					
				Реагировали быстро отключили сигнализацию пожарный тревоги. Спасибо огромное! 				
		спасибо что проверили ! пеекрасная работа!						
				Спасибо! Оперативно!				
				ответили быстро, но увы ничего не смогут сделать.				
				спасибо за быстрое устранение проблемы 				
