"annotation_id","annotator","comment","created_at","id","lead_time","rating","taxonomy","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"
25,"1","Спасибо, пришли все поменяли за 10 минут ","2025-05-11T08:15:21.993652Z",3797804,5.275,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:15:21.993652Z","","","","",""
26,"1","Все очень оперативно ","2025-05-11T08:15:26.404123Z",3799741,2.966,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:15:26.404123Z","","","","",""
27,"1","Огромное спасибо.","2025-05-11T08:15:32.024520Z",3802024,4.334,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:15:32.024520Z","","","","",""
28,"1","Все отлично! Спасибо.","2025-05-11T08:15:35.558658Z",3805876,2.326,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:15:35.558658Z","","","","",""
29,"1","Хороший мастер","2025-05-11T08:15:41.767849Z",3812092,3.442,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:15:41.767849Z","","","","",""
30,"1","Спасибо за оперативность! 
","2025-05-11T08:15:47.101602Z",3815412,3.224,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:15:47.101602Z","","","","",""
31,"1","выполнена

","2025-05-11T08:15:52.422806Z",3820641,3.849,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-11T08:15:52.422806Z","","","","",""
32,"1","Все супер, Мастер 👍","2025-05-11T08:15:57.527324Z",3828569,2.956,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:15:57.527324Z","","","","",""
33,"1","Благодарю ребят.","2025-05-11T08:16:18.592708Z",3829748,19.595,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:16:18.592708Z","","","","",""
34,"1","Спасибо большое ","2025-05-11T08:16:22.538198Z",3831509,2.52,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:16:22.538198Z","","","","",""
35,"1","спасибо","2025-05-11T08:16:26.597927Z",3831883,2.16,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:16:26.597927Z","","","","",""
36,"1","Спасибо!","2025-05-11T08:16:31.369120Z",3832952,2.116,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:16:31.369120Z","","","","",""
37,"1","Проблема решена, ручки на окна поставили.
Спасибо за обратную связь!","2025-05-11T08:16:39.296083Z",3834081,5.643,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:16:39.297086Z","","","","",""
38,"1","Благодарю за проделанную работу! ","2025-05-11T08:16:52.312672Z",3835748,10.866,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:16:52.312672Z","","","","",""
39,"1","надеюсь и причину устранили, а то после первого дождя будет тоже самое..","2025-05-11T08:17:13.506011Z",3835874,18.052,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:17:13.506011Z","","","","",""
40,"1","Спасибо, всё чётко.","2025-05-11T08:17:17.871373Z",3839647,2.665,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:17:17.871373Z","","","","",""
41,"1","Благодарю ","2025-05-11T08:17:22.254698Z",3840353,2.409,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:17:22.254698Z","","","","",""
42,"1","Спасибо Сергей ! ))))","2025-05-11T08:17:29.151664Z",3841026,4.385,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:17:29.151664Z","","","","",""
43,"1","Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)","2025-05-11T08:17:34.008298Z",3842440,3.6,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:17:34.008298Z","","","","",""
44,"1","хоть что то сделали 👍👏","2025-05-11T08:17:48.776149Z",3842790,12.783,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:17:48.776149Z","","","","",""
45,"1","спасибо)","2025-05-11T08:17:52.760286Z",3843760,2.389,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:17:52.760286Z","","","","",""
46,"1","профессионально, быстро. очень приятный мастер","2025-05-11T08:17:59.947538Z",3844645,3.084,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:17:59.947538Z","","","","",""
47,"1","спасибо! ","2025-05-11T08:18:04.047466Z",3846820,2.532,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:18:04.047466Z","","","","",""
48,"1","Спасибо, вопрос решили, всё стало нормально ","2025-05-11T08:18:08.277487Z",3846831,2.611,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-11T08:18:08.277487Z","","","","",""
49,"1","Татьяна Владимировна большое вам спасибо!!!! ","2025-05-11T08:18:12.390407Z",3848236,2.654,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:18:12.390407Z","","","","",""
50,"1","спасибо! ","2025-05-11T08:18:19.125151Z",3850021,3.408,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:18:19.126139Z","","","","",""
51,"1","спасибо за  быстрый ответ! 


","2025-05-11T08:18:25.470198Z",3850118,3.148,1,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:18:25.470198Z","","","","",""
52,"1","Огромное спасибо вам от всего подъезда!!!   )))))","2025-05-11T08:18:33.225117Z",3852179,6.449,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:18:33.225117Z","","","","",""
53,"1","спасибо!)","2025-05-11T08:18:37.223429Z",3852743,2.029,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:18:37.223429Z","","","","",""
54,"1","спасибо ","2025-05-11T08:18:41.055207Z",3852975,2.251,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:18:41.055207Z","","","","",""
55,"1","Все отлично ","2025-05-11T08:18:45.628620Z",3854073,2.482,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:18:45.628620Z","","","","",""
56,"1","свершилось","2025-05-11T08:18:53.742366Z",3856028,6.539,1,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-11T08:18:53.742366Z","","","","",""
57,"1","Спасибо мастеру ","2025-05-11T08:18:58.440327Z",3859764,2.791,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:18:58.440327Z","","","","",""
58,"1","спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝","2025-05-11T08:19:07.137382Z",3859780,6.973,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:19:07.137382Z","","","","",""
59,"1","Среагировали быстро, благодарю ","2025-05-11T08:19:11.552015Z",3860248,3.092,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:19:11.552015Z","","","","",""
60,"1","Спасибо за оперативность!","2025-05-11T08:19:27.822858Z",3860900,2.477,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:19:27.822858Z","","","","",""
61,"1","Отличный мастер!","2025-05-11T08:19:31.447493Z",3862448,2.243,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:19:31.447493Z","","","","",""
62,"1","Спасибо! По крайней мере, по ночам пока шума не слышно.","2025-05-11T08:19:39.503733Z",3863351,6.402,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:19:39.503733Z","","","","",""
63,"1","Быстро ","2025-05-11T08:19:44.141164Z",3863609,2.477,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:19:44.141164Z","","","","",""
64,"1","Спасибо за своевременное выполнение заявки...","2025-05-11T08:19:56.480126Z",3866829,6.489,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:19:56.480126Z","","","","",""
65,"1","все сделали быстро. спасибо ","2025-05-11T08:20:07.542235Z",3866867,7.117,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:20:07.542235Z","","","","",""
66,"1","всё отлично 👍","2025-05-11T08:20:11.523302Z",3868883,2.473,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:20:11.523302Z","","","","",""
67,"1","Спасибо ","2025-05-11T08:20:15.200702Z",3871379,2.396,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:20:15.200702Z","","","","",""
68,"1","Большое спасибо Александру,за оперативность и профессионализм ","2025-05-11T08:20:23.052757Z",3872124,4.447,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:20:23.052757Z","","","","",""
69,"1","благодарю ","2025-05-11T08:20:27.039459Z",3872129,1.959,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:20:27.039459Z","","","","",""
70,"1","оперативно и качественно. спасибо ","2025-05-11T08:20:34.734497Z",3873692,4.659,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""],[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:20:34.734497Z","","","","",""
71,"1","Спасибо!","2025-05-11T08:20:40.611460Z",3874941,2.425,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:20:40.611460Z","","","","",""
72,"1","благодарю, всего доброго!","2025-05-11T08:20:45.343600Z",3875262,3.381,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:20:45.343600Z","","","","",""
73,"1","спасибо","2025-05-11T08:20:49.292227Z",3876790,2.472,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:20:49.292227Z","","","","",""
74,"1","Спасибо ","2025-05-11T08:20:54.211110Z",3876998,2.301,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:20:54.211110Z","","","","",""
75,"1","Спасибо большое! ","2025-05-11T08:21:00.899448Z",3877186,4.222,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:21:00.899448Z","","","","",""
76,"1","Спасибо!","2025-05-11T08:21:07.540409Z",3877315,4.634,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:21:07.540409Z","","","","",""
77,"1","К мастеру вопросов нет.  ","2025-05-11T08:21:14.211496Z",3877334,3.443,3,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:21:14.211496Z","","","","",""
78,"1","Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!","2025-05-11T08:21:26.240137Z",3877901,3.615,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:21:26.240137Z","","","","",""
79,"1","вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ","2025-05-11T08:21:37.544887Z",3878088,9.834,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""],[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:21:37.544887Z","","","","",""
80,"1","спасибо большое! надолго ли🙄","2025-05-11T08:21:47.255932Z",3878555,7.982,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:21:47.255932Z","","","","",""
81,"1","Огромное спасибо! ","2025-05-11T08:21:51.215340Z",3878808,2.351,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:21:51.215340Z","","","","",""
82,"1","Всё очень четко организовано! Большое спасибо за работу!","2025-05-11T08:22:01.416501Z",3879856,7.351,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:22:01.416501Z","","","","",""
83,"1","Спасибо Вам большое и за дверь и за номера квартир!","2025-05-11T08:22:06.794289Z",3880345,3.488,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:22:06.794289Z","","","","",""
84,"1","снимаю звезду за первую отписку без выполнения работ","2025-05-11T08:22:28.117638Z",3880717,4.69,3,"[{""taxonomy"":[[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:22:28.117638Z","","","","",""
85,"1","В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ","2025-05-11T08:22:38.514365Z",3881004,7.439,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:22:38.514365Z","","","","",""
86,"1","Спасибо!","2025-05-11T08:22:41.725370Z",3881432,1.888,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:22:41.725370Z","","","","",""
87,"1","Спасибо! Все заработало ","2025-05-11T08:22:45.855870Z",3881460,2.782,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:22:45.855870Z","","","","",""
88,"1","спасибо, решили мой вопрос на месте в офисе ","2025-05-11T08:22:51.284135Z",3881636,3.704,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-11T08:22:51.284135Z","","","","",""
89,"1","Спасибо больше Ольге Птушкине, за проделанную работу! ","2025-05-11T08:22:55.791799Z",3882840,3.006,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:22:55.791799Z","","","","",""
90,"1","Спасибо ","2025-05-11T08:22:59.117040Z",3883049,1.861,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:22:59.117040Z","","","","",""
91,"1","всё сделали хорошо, починили вовремя. наверное, молодцы.","2025-05-11T08:23:05.349348Z",3883200,4.127,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:23:05.349348Z","","","","",""
92,"1","Спасибо","2025-05-11T08:23:09.306730Z",3883457,1.988,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:23:09.306730Z","","","","",""
93,"1","Супер! Спасибо!","2025-05-11T08:23:13.027306Z",3883549,2.562,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:23:13.027306Z","","","","",""
94,"1","Отлично! Все выполнили как и обещали! ","2025-05-11T08:23:23.779223Z",3883658,8.891,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:23:23.779223Z","","","","",""
95,"1","Очень оперативно. Спасибо большое ","2025-05-11T08:23:28.080314Z",3883736,2.378,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:23:28.080314Z","","","","",""
96,"1","Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.","2025-05-11T08:23:35.442744Z",3883745,5.808,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Нравится качество выполнения заявки""],[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:23:35.442744Z","","","","",""
97,"1","Спасибо","2025-05-11T08:23:43.172551Z",3883823,3.228,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:23:43.172551Z","","","","",""
98,"1","спасибо","2025-05-11T08:23:53.974266Z",3884514,2.6,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:23:53.974266Z","","","","",""
99,"1","Спасибо ","2025-05-11T08:24:03.805599Z",3884705,4.656,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:24:03.805599Z","","","","",""
100,"1","Умело подкрутили редукторы давления. Молодец!","2025-05-11T08:24:17.089230Z",3884964,11.144,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:24:17.089230Z","","","","",""
101,"1","все хорошо,дверь практически бесшумно закрывается","2025-05-11T08:24:22.846176Z",3885089,4.116,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:24:22.846176Z","","","","",""
102,"1","Спасибо ","2025-05-11T08:24:26.661622Z",3885291,2.332,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:24:26.661622Z","","","","",""
103,"1","спасибо)","2025-05-11T08:24:31.517207Z",3885807,2.335,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:24:31.517207Z","","","","",""
104,"1","проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам","2025-05-11T08:24:41.225535Z",3886150,8.137,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:24:41.225535Z","","","","",""
105,"1","быстро, чётко, без проблем. одно слово - мастер! ","2025-05-11T08:24:52.101395Z",3886231,9.044,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:24:52.101395Z","","","","",""
106,"1","Работает. Спасибо!","2025-05-11T08:24:57.373175Z",3886721,3.264,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-11T08:24:57.373175Z","","","","",""
107,"1","сегодня ездил, все исправно работает, спасибо!","2025-05-11T08:25:08.240183Z",3886923,8.924,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:25:08.240183Z","","","","",""
108,"1","Спасибо большое, всё понятно.","2025-05-11T08:25:14.533530Z",3886937,4.732,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:25:14.533530Z","","","","",""
109,"1","Татьяна спасибо ❤️","2025-05-11T08:25:30.248625Z",3887002,4.235,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:25:30.248625Z","","","","",""
110,"1","На вопрос ответили. Крепления нельзя повесить в колясочной","2025-05-11T08:25:41.785672Z",3887203,9.921,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-11T08:25:41.786673Z","","","","",""
111,"1","Большое спасибо!","2025-05-11T08:25:45.665420Z",3887228,2.268,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:25:45.665420Z","","","","",""
112,"1","Лучший ","2025-05-11T08:25:50.298197Z",3887353,3.266,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:25:50.298197Z","","","","",""
113,"1","спасибо за оперативность ","2025-05-11T08:25:55.712866Z",3887358,2.186,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:25:55.712866Z","","","","",""
114,"1","спасибо ","2025-05-11T08:26:03.673812Z",3887389,2.477,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:26:03.673812Z","","","","",""
115,"1","спасибо за то что быстро отреагировали","2025-05-11T08:26:07.585976Z",3887392,2.204,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:26:07.586995Z","","","","",""
116,"1","Сервис на высоте, мастер - профессионал","2025-05-11T08:26:15.073015Z",3887422,5.094,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:26:15.073015Z","","","","",""
117,"1","спасибо","2025-05-11T08:26:20.768117Z",3887496,3.779,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:26:20.768117Z","","","","",""
118,"1","спасибо большое","2025-05-11T08:26:25.026103Z",3887525,1.891,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:26:25.026103Z","","","","",""
119,"1","ок ","2025-05-11T08:26:30.200724Z",3887606,3.203,1,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-11T08:26:30.200724Z","","","","",""
120,"1","Надолго ли(","2025-05-11T08:27:01.156984Z",3887614,19.129,2,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:27:01.156984Z","","","","",""
121,"1","Надолго ли(","2025-05-11T08:27:05.161153Z",3887616,2.457,2,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T08:27:05.161153Z","","","","",""
122,"1","Спасибо. Все работает","2025-05-11T08:27:10.673831Z",3887743,2.459,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:27:10.673831Z","","","","",""
123,"1","Спасибо большое!","2025-05-11T08:27:14.219696Z",3887791,2.087,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:27:14.219696Z","","","","",""
124,"1","Спасибо!","2025-05-11T08:27:18.798196Z",3887832,2.069,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T08:27:18.798196Z","","","","",""
125,"1","заявка выполнена, спасибо.","2025-05-11T08:27:22.998054Z",3887844,2.951,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-11T08:27:22.998054Z","","","","",""
126,"1","Дверь закрывается намного лучше.","2025-05-11T08:27:28.953417Z",3887922,3.982,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""]]}]","2025-05-11T08:27:28.954410Z","","","","",""
127,"1","Спасибо за быстрое реагирование!!!","2025-05-11T08:27:33.930995Z",3888009,3.186,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:27:33.930995Z","","","","",""
128,"1","Оперативно сработали, благодарю.","2025-05-11T08:27:39.203946Z",3888318,3.204,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T08:27:39.203946Z","","","","",""
129,"1","спасибо большое","2025-05-11T09:00:45.065692Z",3888320,1979.63,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-11T09:00:45.065692Z","","","","",""
130,"1","Спасибо сантехнику Алексею, все сделано качественно ","2025-05-11T09:01:53.199473Z",3888354,3.221,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-11T09:01:53.200561Z","","","","",""
131,"1","Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!","2025-05-11T09:02:08.350369Z",3888539,13.533,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]","2025-05-11T09:02:08.351386Z","","","","",""
132,"1","Очень оперативно и никуда не пришлось ходить.","2025-05-11T09:03:09.284544Z",3888591,3.858,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-11T09:03:09.284544Z","","","","",""
